SERIES,SYMBOL,SECURITY
 , ,NIFTY 50 Sec
EQ,ADANIENT,ADANI ENTERPRISES LIMITED
EQ,ADANIPORTS,ADANI PORT & SEZ LTD
EQ,APOLLOHOSP,APOLLO HOSPITALS ENTER. L
EQ,ASIANPAINT,ASIAN PAINTS LIMITED
EQ,AXISBANK,AXIS BANK LIMITED
EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED
EQ,BAJAJFINSV,BAJAJ FINSERV LTD.
EQ,BAJFINANCE,BAJAJ FINANCE LIMITED
EQ,BEL,BHARAT ELECTRONICS LTD
EQ,BHARTIARTL,BHARTI AIRTEL LIMITED
EQ,CIPLA,CIPLA LTD
EQ,COALINDIA,COAL INDIA LTD
EQ,DRREDDY,DR. REDDY S LABORATORIES
EQ,EICHERMOT,EICHER MOTORS LTD
EQ,ETERNAL,ETERNAL LIMITED
EQ,GRASIM,GRASIM INDUSTRIES LTD
EQ,HCLTECH,HCL TECHNOLOGIES LTD
EQ,HDFCBANK,HDFC BANK LTD
EQ,HDFCLIFE,HDFC LIFE INS CO LTD
EQ,HINDALCO,HINDALCO  INDUSTRIES  LTD
EQ,HINDUNILVR,HINDUSTAN UNILEVER LTD.
EQ,ICICIBANK,ICICI BANK LTD.
EQ,INDIGO,INTERGLOBE AVIATION LTD
EQ,INFY,INFOSYS LIMITED
EQ,ITC,ITC LTD
EQ,JIOFIN,JIO FIN SERVICES LTD
EQ,JSWSTEEL,JSW STEEL LIMITED
EQ,KOTAKBANK,KOTAK MAHINDRA BANK LTD
EQ,LT,LARSEN & TOUBRO LTD.
EQ,M&M,MAHINDRA & MAHINDRA LTD
EQ,MARUTI,MARUTI SUZUKI INDIA LTD.
EQ,MAXHEALTH,MAX HEALTHCARE INS LTD
EQ,NESTLEIND,NESTLE INDIA LIMITED
EQ,NTPC,NTPC LTD
EQ,ONGC,OIL AND NATURAL GAS CORP.
EQ,POWERGRID,POWER GRID CORP. LTD.
EQ,RELIANCE,RELIANCE INDUSTRIES LTD
EQ,SBILIFE,SBI LIFE INSURANCE CO LTD
EQ,SBIN,STATE BANK OF INDIA
EQ,SHRIRAMFIN,SHRIRAM FINANCE LIMITED
EQ,SUNPHARMA,SUN PHARMACEUTICAL IND L
EQ,TATACONSUM,TATA CONSUMER PRODUCT LTD
EQ,TATASTEEL,TATA STEEL LIMITED
EQ,TCS,TATA CONSULTANCY SERV LT
EQ,TECHM,TECH MAHINDRA LIMITED
EQ,TITAN,TITAN COMPANY LIMITED
EQ,TMPV,TATA MOTORS PASS VEH LTD
EQ,TRENT,TRENT LTD
EQ,ULTRACEMCO,ULTRATECH CEMENT LIMITED
EQ,WIPRO,WIPRO LTD
 , , 
 , ,NIFTY Next 50 Sec
EQ,ABB,ABB INDIA LIMITED
EQ,ADANIENSOL,ADANI ENERGY SOLUTION LTD
EQ,ADANIGREEN,ADANI GREEN ENERGY LTD
EQ,ADANIPOWER,ADANI POWER LTD
EQ,AMBUJACEM,AMBUJA CEMENTS LTD
EQ,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD
EQ,BANKBARODA,BANK OF BARODA
EQ,BOSCHLTD,BOSCH LIMITED
EQ,BPCL,BHARAT PETROLEUM CORP  LT
EQ,BRITANNIA,BRITANNIA INDUSTRIES LTD
EQ,CANBK,CANARA BANK
EQ,CGPOWER,CG POWER AND IND SOL LTD
EQ,CHOLAFIN,CHOLAMANDALAM IN & FIN CO
EQ,CUMMINSIND,CUMMINS INDIA LTD
EQ,DIVISLAB,DIVI S LABORATORIES LTD
EQ,DLF,DLF LIMITED
EQ,DMART,AVENUE SUPERMARTS LIMITED
EQ,ENRIN,SIEMENS ENERGY INDIA LTD
EQ,GAIL,GAIL (INDIA) LTD
EQ,GODREJCP,GODREJ CONSUMER PRODUCTS
EQ,HAL,HINDUSTAN AERONAUTICS LTD
EQ,HDFCAMC,HDFC AMC LIMITED
EQ,HINDZINC,HINDUSTAN ZINC LIMITED
EQ,HYUNDAI,HYUNDAI MOTOR INDIA LTD
EQ,INDHOTEL,THE INDIAN HOTELS CO. LTD
EQ,IOC,INDIAN OIL CORP LTD
EQ,IRFC,INDIAN RAILWAY FIN CORP L
EQ,JINDALSTEL,JINDAL STEEL LIMITED
EQ,LODHA,LODHA DEVELOPERS LIMITED
EQ,LTM,LTM LIMITED
EQ,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD
EQ,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD
EQ,MUTHOOTFIN,MUTHOOT FINANCE LIMITED
EQ,PFC,POWER FIN CORP LTD.
EQ,PIDILITIND,PIDILITE INDUSTRIES LTD
EQ,PNB,PUNJAB NATIONAL BANK
EQ,RECLTD,REC LIMITED
EQ,SHREECEM,SHREE CEMENT LIMITED
EQ,SIEMENS,SIEMENS LTD
EQ,SOLARINDS,SOLAR INDUSTRIES (I) LTD
EQ,TATACAP,TATA CAPITAL LIMITED
EQ,TATAPOWER,TATA POWER CO LTD
EQ,TMCV,TATA MOTORS LIMITED
EQ,TORNTPHARM,TORRENT PHARMACEUTICALS L
EQ,TVSMOTOR,TVS MOTOR COMPANY  LTD
EQ,UNIONBANK,UNION BANK OF INDIA
EQ,UNITDSPR,UNITED SPIRITS LIMITED
EQ,VBL,VARUN BEVERAGES LIMITED
EQ,VEDL,VEDANTA LIMITED
